year,title,status,source,reason,link
2025,Rate-Adaptive Generative Semantic Communication Using Conditional Diffusion Models,included_core,IEEE / arXiv,熵模型估计 transmitted symbols 的信息量并管理带宽,https://arxiv.org/abs/2409.02597
2025,Hybrid Digital-Analog Semantic Communications,included_core,IEEE / arXiv,digital stream 与 analog stream 的分配和融合,https://arxiv.org/abs/2405.12580
2025,Progressive Learned Image Transmission for Semantic Communication Using Hierarchical VAE,included_core,IEEE / arXiv,层级 latent groups 的 coarse-to-fine progressive transmission,https://arxiv.org/abs/2408.16340
2025,DD-JSCC: Dynamic Deep Joint Source-Channel Coding for Semantic Communications,included_core,IEEE / arXiv,动态网络/动态传输路径以适配异构 SNR,https://arxiv.org/abs/2507.20467
2025,Entropy-and-Channel-Aware Adaptive-Rate Semantic Communication With MLLM-Aided Feature Compensation,included_core,arXiv,feature map selection + symbol pruning 的双层 rate control,https://arxiv.org/abs/2501.15414
2025,Rate-Adaptive Semantic Communication via Multi-Stage Vector Quantization,included_core,arXiv,按 rate 激活不同数量的 VQ stages / codebooks,https://arxiv.org/abs/2510.02646
2025,Digital Semantic Communications With Variable Product Quantization for Image Transmission,included_core,IEEE,product quantization 子空间/码本数量可变,https://doi.org/10.1109/WCNC61545.2025.10978348
2025,Fully Learnable Multi-Rate Quantization for Digital Semantic Communication Systems,included_core,IEEE,learnable quantization levels / multi-rate bitstream,https://doi.org/10.1109/LWC.2025.3581374
2025,Conditional Entropy-Constrained Multi-Stage Vector Quantization for Semantic Communication,included_core,IEEE,条件熵约束下的 stage-wise VQ 与 entropy-coded payload,https://ieeexplore.ieee.org/document/11299506
2025,Digital-SC: Digital Semantic Communication With Adaptive Network Split and Learned Non-Linear Quantization,included_core,IEEE,网络切分点、特征通道剪枝、非线性量化 bit-depth,https://doi.org/10.1109/TCCN.2024.3510586
2025,Joint Source-Channel Coding for Channel-Adaptive Digital Semantic Communications,included_core,IEEE,离散信道条件下的 channel-adaptive source-channel representation,https://doi.org/10.1109/TCCN.2024.3422496
2025,Vision Transformer-Based Semantic Communications With Importance-Aware Quantization,included_core,IEEE,ViT patch importance 决定每个 patch 的 quantization level,https://ieeexplore.ieee.org/document/11038757/
2025,Semantic Codebook-Based HARQ for Wireless Image Transmission,included_core,IEEE,基于 semantic codebook 的错误检测与按需重传,https://doi.org/10.1109/TCOMM.2025.3604326
2025,Unequal Error Protection for Digital Semantic Communication With Channel Coding,included_core,arXiv,semantic bit importance 驱动的 unequal error protection,https://arxiv.org/abs/2508.03381
2024,OFDM-Based Digital Semantic Communication With Importance Awareness,related_not_core,IEEE,全文已下载并截图。它对数字语义 bit 做 importance-aware OFDM allocation，适合作为背景；但本次用户明确排除“建立优化模型、分配语义传输数据量”的纯优化式工作，因此不放入核心可控方法主表。,https://doi.org/10.1109/TCOMM.2024.3397862
2026,Adaptive Rate Control for Semantic Communications Over LEO Satellite-Ground Links,screened_not_core,arXiv,最新检索命中。摘要显示其用 RL 在有限可见窗口内选择 SwinJSCC channel dimension，系统调度/吞吐优化色彩很强；后续可作为卫星场景候选，但本轮不作为核心方法。,https://arxiv.org/html/2605.10095v1
2024,An Image Adaptive Rate Mechanism in Semantic Communication for Remote Monitoring,candidate_pending_fulltext,IEEE,IEEE Xplore 检索命中，题名和摘要与图像自适应 rate control 相关；本轮尚未完成 IEEE 全文读取，列为后续补读。,https://ieeexplore.ieee.org/document/10518138/
2025,Alternate Learning-Based SNR-Adaptive Sparse Semantic Visual Transmission,candidate_pending_fulltext,IEEE,IEEE TWC 核心候选，尝试用 ieee-xplore-literature 串行下载时 DevTools websocket timeout，两次失败；未遇到 WAF/CAPTCHA，但本轮未继续高频重试。,https://doi.org/10.1109/TWC.2024.3512652
2026,BidDeepSC-1.58b: 1.58-bit Bidirectional Slimmable Semantic Communication System,related_not_core,IEEE,主要控制网络宽度和低比特模型计算，而不是根据输入/任务/信道灵活改变传输语义符号数。,https://ieeexplore.ieee.org/
2026,SC-AFE: A Channel-Adaptive and Feature-Enhanced Semantic Communication Method,candidate_pending_fulltext,ScienceDirect,ScienceDirect 2026 检索命中，主题相关但未取得全文；若后续需要覆盖非 IEEE 期刊，可补读。,https://www.sciencedirect.com/science/article/abs/pii/S1047320326000829
2026,Towards Text Semantic Communication: Two-Phase Variable Bitrate Control Algorithm,candidate_pending_fulltext,ScienceDirect,文本 variable bitrate 方向相关，但为 Elsevier 2026 文章，本轮未获取全文；列入后续补充。,https://www.sciencedirect.com/science/article/pii/S2352864826000611
2025,Semantic Adaptive Communication Based on Double-Attention Mechanism,excluded_mdpi,MDPI,MDPI/Sensors，按项目既定数字语义通信调研规则和本轮 IEEE/arXiv 优先策略，不纳入核心。,https://www.mdpi.com/1424-8220/25/23/7201
2025,Channel Code-Book: Semantic Image-Adaptive Transmission in Diverse Channel Environments,excluded_mdpi,MDPI,MDPI/Sensors，主题相近但按规则排除；可作为概念参考不进入主表。,https://www.mdpi.com/1424-8220/25/1/269
