year,title,source,venue,task,route,transmission_unit,channel_error_class,pdf
2025,VQ-SDSC: Vector Quantized Satellite Digital Semantic Communication Framework,IEEE,"IEEE INFOCOM Workshops, 2025",卫星中继图像语义传输,satellite VQ + semantic forwarding,VQ index / constellation symbol,2. VQ + 卫星数字链路,VQ-SDSC_Vector_Quantized_Satellite_Digital_Semantic_Communication_Framework.pdf
2025,ESC-MVQ: End-to-End Semantic Communication With Multi-Codebook Vector Quantization,IEEE,"IEEE Transactions on Wireless Communications, 2025/2026",图像重建,multi-codebook VQ + JCAMP/JCAP,codebook index / bit / symbol,4. 显式建模离散错误并联合优化,ESC-MVQ_End-to-End_Semantic_Communication_With_Multi-Codebook_Vector_Quantization.pdf
2025,A Hierarchical Error Protection Framework for Learnable Residual Vector Quantization in Digital Semantic Communication Systems,IEEE,"IEEE Globecom, 2025",图像重建,ResUME / RVQ + unequal modulation,RVQ stage index / modulation symbol,4. 显式建模离散错误并联合优化,A_Hierarchical_Error_Protection_Framework_for_Learnable_Residual_Vector_Quantization_in_Digital_Semantic_Communication_Systems.pdf
2025,Low-Bitrate High-Quality Digital Semantic Communication Based on RVQGAN,IEEE,"IEEE Internet of Things Journal, 2025",语音低码率传输,RVQGAN speech semantic codec,RVQ code index / low-bitrate token stream,5. RVQ token + neural error suppression,Low-Bitrate_High-Quality_Digital_Semantic_Communication_Based_on_RVQGAN.pdf
2025,Generative AI-Based Vector Quantized End-to-End Semantic Communication System for Wireless Image Transmission,IEEE,"IEEE Transactions on Machine Learning in Communications and Networking, 2025",无线图像传输，人/机感知,VQ generative semantic codec,VQ index / LDPC-protected bits,2. VQ index + LDPC,Generative_AI-Based_Vector_Quantized_End-to-End_Semantic_Communication_System_for_Wireless_Image_Transmission.pdf
2025,SQ-GAN: Semantic Image Communications Using Masked Vector Quantization,IEEE,"IEEE Transactions on Cognitive Communications and Networking, 2025/2026",语义图像压缩/传输,semantic mask + VQ-GAN,VQ token/index,1. 数字语义源编码，弱信道建模,SQ-GAN_Semantic_Image_Communications_Using_Masked_Vector_Quantization.pdf
2025,Conditional Entropy-Constrained Multi-Stage Vector Quantization for Semantic Communication,IEEE,"IEEE Wireless Communications Letters, 2025/2026",图像语义传输/重建,CEC-MSVQ,multi-stage VQ index / entropy-coded bitstream,1. VQ 源编码与 rate control,Conditional_Entropy-Constrained_Multi-Stage_Vector_Quantization_for_Semantic_Communication.pdf
2025,Rate-Adaptive Semantic Communication via Multi-Stage Vector Quantization,arXiv,"arXiv, 2025",图像语义重建，rate-adaptive,MSVQ-SC,multi-stage codebook index,1. MSVQ rate adaptation，弱信道错误,2025_MSVQ_SC_Multi_Stage_Vector_Quantization_Semantic_Communication.pdf
2024,VQ-DeepVSC: A Dual-Stage Vector Quantization Framework for Video Semantic Communication,arXiv,arXiv 2024; IEEE TWC version identified in search,视频语义传输,dual-stage VQ video SemCom,frame key index / VQ index,5. video VQ + recovery，误码建模中等,2024_Miao_VQ_DeepVSC_Dual_Stage_Vector_Quantization_Video_Semantic_Communication.pdf
2024,Activation Map-based Vector Quantization for 360-degree Image Semantic Communication,arXiv,"arXiv, 2024",360 度图像语义传输,AM-VQ,VQ index,1. VQ 源编码，弱信道建模,2024_Activation_Map_Based_Vector_Quantization_360_Image_Semantic_Communication.pdf
2025,Vision Transformer-Based Semantic Communications With Importance-Aware Quantization,IEEE,"IEEE Internet of Things Journal, 2025",图像分类、多视图分类、目标检测,ViT IAQ,patch-wise quantized bit sequence,4. 显式建模离散错误并联合优化,Vision_Transformer-Based_Semantic_Communications_With_Importance-Aware_Quantization.pdf
2025,sDMCM—A Semantic Digital Modulation Constellation Mapping Scheme for Semantic Communication,IEEE,"IEEE Internet of Things Journal, 2025",语义图像/工业 IoT 图像传输中的调制映射,semantic digital constellation mapping,quantized semantic bit / modulation symbol,5. semantic-aware modulation mapping,sDMCMA_Semantic_Digital_Modulation_Constellation_Mapping_Scheme_for_Semantic_Communication.pdf
2025,"Less Signals, More Understanding: Channel-Capacity Codebook Design for Digital Task-Oriented Semantic Communication",arXiv,"arXiv, 2025",任务导向语义推理,channel-capacity codebook,codebook index,5. channel-aware codebook design,2025_Channel_Capacity_Codebook_Design_VQ_Semantic_Communication.pdf
2025,A Theoretically-Grounded Codebook for Digital Semantic Communications,arXiv,"arXiv, 2025",数字语义通信码本理论,theoretical codebook,codebook index,5. 理论 bit-flip / codebook 分析,2025_Theoretical_Codebook_Design_VQ_Semantic_Communication.pdf
2025,Joint Semantic-Channel Coding and Modulation for Token Communications,arXiv,"arXiv, 2025",token/prompt 通信，多模态 Transformer token,token JSCC-modulation,token index / bit / modulation symbol,5. token-level JSCC / modulation,2025_Token_Based_Prompt_Transmission_JSCC_Modulation.pdf
