title,year,decision,reason,source
An Efficient Vector Quantization-Based Semantic Communication System for Virtual Reality Video Transmission,2025,related_not_core,检索发现的 VR 视频 VQ 方向，主题相关但全文未纳入本轮核心阅读。,search/citation
Blind Training for Channel-Adaptive Digital Semantic Communications,2025,included_core,核心,IEEE
Channel-Aware Vector Quantization for Robust Semantic Communication on Discrete Channels,2025,included_core,核心,arXiv
Conditional Entropy-Constrained Multi-Stage Vector Quantization for Semantic Communication,2025,included_core,核心,IEEE
Digital Semantic Communication in ISAC: A Framework for Enhanced Sensing and Communication,2025,screened_or_future_check,Semantic Scholar keyword hit; not all are strict digital SemCom,OFDM digital semantic communication
Digital Semantic Communication System With a Learnable Channel Estimator for OFDM Transmission,2025,screened_or_future_check,Semantic Scholar keyword hit; not all are strict digital SemCom,OFDM digital semantic communication
Digital Semantic Communication with Neural Image Compression,2025,screened_or_future_check,Semantic Scholar keyword hit; not all are strict digital SemCom,OFDM digital semantic communication
Digital Semantic Communications with Variable Product Quantization for Image Transmission,2025,included_core,核心,IEEE
Digital-SC: Digital Semantic Communication With Adaptive Network Split and Learned Non-Linear Quantization,2025,included_core,核心,IEEE
Doppler-Adaptive Digital Semantic Communication for Low Earth Orbit Satellite Systems,2025,related_not_core,卫星/LEO 数字语义通信扩展方向，候选相关；未在本轮完成全文下载和深读。,search/citation
ESC-MVQ: End-to-End Semantic Communication With Multi-Codebook Vector Quantization,2025,included_core,核心,IEEE
Federated Learning Enhanced by Feature Reconstruction for Semantic Communication Module Updates of Agents,2025,screened_or_future_check,Semantic Scholar keyword hit; not all are strict digital SemCom,VQ semantic communication
From Analog to Digital: Multi-Order Digital Joint Coding-Modulation for Semantic Communication,2025,included_core,核心,IEEE
Fully Learnable Multi-Rate Quantization for Digital Semantic Communication Systems,2025,included_core,核心,IEEE
Generative AI-Based Vector Quantized End-to-End Semantic Communication System for Wireless Image Transmission,2025,included_core,核心,IEEE
Harnessing the Power of Pre-Trained Models for Efficient Semantic Communication of Text and Images,2025,screened_or_future_check,Semantic Scholar keyword hit; not all are strict digital SemCom,VQ semantic communication
Implicit codebook-based noise resilient underwater digital semantic communication system.,2025,screened_or_future_check,Semantic Scholar keyword hit; not all are strict digital SemCom,VQ semantic communication
Importance-Aware Subcarrier Mapping for OFDM-Based Digital Semantic Communication,2025,screened_or_future_check,Semantic Scholar keyword hit; not all are strict digital SemCom,OFDM digital semantic communication
Joint Semantic-Channel Coding and Modulation for Token Communications,2025,included_core,核心,arXiv
Joint Source-Channel Coding for Channel-Adaptive Digital Semantic Communications,2025,included_core,核心,IEEE
Knowledge-Driven 3D Semantic Spectrum Map: KE-VQ-Transformer-Based AAV Semantic Communication and Map Completion,2025,screened_or_future_check,Semantic Scholar keyword hit; not all are strict digital SemCom,VQ semantic communication
Learning Mutual Modulation for Semantic Communication With Multiple Users,2025,related_not_core,命中 semantic modulation 检索。多用户 mutual modulation 与数字调制相关，但本轮摘要筛查未确认其具有明确离散语义 payload/压缩率/index error ledger，暂列相关候选。,search/citation
"Less Signals, More Understanding: Channel-Capacity Codebook Design for Digital Task-Oriented Semantic Communication",2025,included_core,核心,arXiv
Low-Bitrate High-Quality Digital Semantic Communication Based on RVQGAN,2025,included_core,核心,IEEE
MaskDSC: Resilient Digital Semantic Communication with Masked Transformer and Unequal Error Protection,2025,included_core,核心,IEEE
Model Shift Modulation for Semantic Communication,2025,related_not_core,命中 semantic modulation 检索。题名相关，但摘要侧重 model-shift modulation 概念，未在本轮确认其属于离散 semantic feature/token/codebook 传输开销可追踪的核心数字语义通信，暂列候选相关。,search/citation
Neuromorphic Wireless Semantic Communication with Multi-Level Spikes,2025,screened_or_future_check,Semantic Scholar keyword hit; not all are strict digital SemCom,OFDM digital semantic communication
OFDM-Based NOMA-Enhanced Coexistence of SemCom and BitCom System,2025,screened_or_future_check,Semantic Scholar keyword hit; not all are strict digital SemCom,OFDM digital semantic communication
On the Potential of Entropy-Constrained Vector Quantization in Semantic Communication,2025,screened_or_future_check,Semantic Scholar keyword hit; not all are strict digital SemCom,VQ semantic communication
Post-Deployment Fine-Tunable Semantic Communication,2025,related_not_core,被关键词检索命中，但核心是部署后微调，不是数字化语义变量和信道误码机制。,search/citation
Rate-Adaptive Semantic Communication via Multi-Stage Vector Quantization,2025,included_core,核心,arXiv
sDMCM—A Semantic Digital Modulation Constellation Mapping Scheme for Semantic Communication,2025,included_core,核心,IEEE
Secure Image Semantic Communication Using Semantic Codebook,2025,related_not_core,命中 semantic codebook 检索。摘要侧重安全图像语义通信与 codebook，和本综述主题相邻；因本轮优先补调制/HARQ/OFDM 缺口，暂未纳入核心深读。,search/citation
SeER: Semantic Error Ratio for Wireless Semantic Communication,2025,related_not_core,本轮 broad semantic communication 检索命中。摘要聚焦 semantic error ratio/评价指标，适合支撑错误度量背景，但不是新的离散语义表示、码本传输或 bit/index/symbol error 处理机制，因此列为相关非核心。,search/citation
Semantic Codebook-Based HARQ for Wireless Image Transmission,2025,included_core,核心,IEEE
Semantic Importance-Aware Reordering-Enhanced Semantic Communication System With OFDM Transmission,2025,related_not_core,命中 OFDM + semantic communication。摘要显示重点是重要性重排序和 OFDM 资源映射，和已有 OFDM importance-aware 路线相关；本轮未确认其提供新的 VQ/index/bit ledger，暂列相关非核心，后续可全文补读。,search/citation
Semantic-Importance-Aware Reordering-Enhanced Semantic Communication System With OFDM Transmission,2025,screened_or_future_check,Semantic Scholar keyword hit; not all are strict digital SemCom,OFDM digital semantic communication
Semantic-Oriented Modulation for Wireless Communication,2025,included_core,核心,IEEE
SQ-GAN: Semantic Image Communications Using Masked Vector Quantization,2025,included_core,相关核心：源编码强，信道弱,IEEE
Unequal Error Protection for Digital Semantic Communication with Channel Coding,2025,included_core,核心,arXiv
Universal Joint Source-Channel Coding for Modulation-Agnostic Semantic Communication,2025,included_core,核心,IEEE
Vision Transformer-Based Semantic Communications With Importance-Aware Quantization,2025,included_core,核心,IEEE
VQ-DeepISC: Vector Quantized-Enabled Digital Semantic Communication with Channel Adaptive Image Transmission,2025,related_not_core,Semantic Scholar/关键词检索发现；与 VQ-DSC-R/Channel-aware VQ 路线接近，本轮未取得全文，列入后续补充。,search/citation
VQ-SDSC: Vector Quantized Satellite Digital Semantic Communication Framework,2025,included_core,核心但证据有限,IEEE
VQ-VAE Based Digital Semantic Communication with Importance-Aware OFDM Transmission,2025,included_core,核心,arXiv
Important Bits Prefix M-Ary Quadrature Amplitude Modulation for Semantic Communications,2026,included_core,核心,IEEE
Joint Optimization of Digital Semantic Communication and Radar Sensing for Enhanced ISAC,2026,screened_or_future_check,Semantic Scholar keyword hit; not all are strict digital SemCom,OFDM digital semantic communication
Non-Orthogonal Superimposed Pilot for Goodput Enhancement in Digital Semantic Communication,2026,screened_or_future_check,Semantic Scholar keyword hit; not all are strict digital SemCom,OFDM digital semantic communication
VQ-DeepVSC: A Dual-Stage Vector Quantization System for Video Semantic Communication,2026,screened_or_future_check,Semantic Scholar keyword hit; not all are strict digital SemCom,VQ semantic communication
VQ-DSC-R: Robust Vector Quantized-Enabled Digital Semantic Communication With OFDM Transmission,2026,included_core,核心,arXiv
