year,tier,title,doi,task_type,digitalization_class,channel_handling_class,strict_digital,datasets,baselines,metrics,snr_conditions,rate_conditions,discrete_error_judgment,limitations
2025,related,Bilateral Bargaining-Based Adaptive Video Transmission: A Frame Rate Perspective,10.1109/tcsvt.2025.3578038,自适应视频帧率传输,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,"边界相关:无线视频控制,非语义通信/JSCC",多类高帧率视频与原型网络 trace,固定帧率；单边优化和自适应策略,VMAF；PSNR；bitrate；编码能耗与时延；QoE；FPS,,,不处理 bit/index error。,"优化变量是 FPS,内容语义和错误恢复均缺失。"
2025,core,Energy-Efficient Image Semantic Communication: Architecture Design and Optimal Joint Allocation of Communication and Computation Resources,10.1109/tcsvt.2025.3539226,多用户无线图像语义传输与能耗优化,数字压缩 bitstream 或量化 feature；无线接口未纳入研究,类别 1：数字压缩后默认可靠传输/存储,"核心语义通信;连续 JSCC 主体,binary 接口描述不完整",DIV2K,DeepJSCC；SwinJSCC；WITT 类模型；JPEG；JPEG2000；BPG + 传统链路；单分支网络,MS-SSIM；PSNR；GFLOPs；总能耗；时延；不同 SNR；压缩率下质量,,,"没有显式 BSC、BER、index assignment 或 bit flip 实验,不能宣称解决数字量化跳变。","‘binary quantization’与连续 AWGN JSCC 数学模型之间缺少可复现接口,资源结论依赖拟合质量函数。"
2025,related,High Efficient 3D Convolution Feature Compression,10.1109/tcsvt.2022.3200698,边云视频动作识别的 3D CNN feature 传输,数字压缩 bitstream 或量化 feature；无线接口未纳入研究,类别 1：数字压缩后默认可靠传输/存储,"边界相关:数字 feature communication,无无线信道","UCF101,3D ResNet-50；3D CNN",原始视频；不同层 feature；对数量化；1-bit learned quantization；HEVC 编码,识别准确率；feature；original data ratio；压缩倍数；码流大小,,,未测试 bit flip 对 1-bit feature 的任务影响。,"方法依赖特定网络/层和传统 codec packing;正式卷年为 2025,虽 DOI 为 2022。"
2025,core,Image Semantic Steganography: A Way to Hide Information in Semantic Communication,10.1109/tcsvt.2024.3476689,语义通信中的秘密消息隐藏与恢复,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,"核心语义通信安全,但不解决有噪信道",分类；目标检测图像数据与相应预训练 SC 模型,传统 robust steganography；cover；stego 检测器 SrNet；XuNet,payload(bpp)；secret recovery accuracy；BER；PSNR；SSIM；下游分类；检测；steganalysis ROC,,0.1bpp；1bpp；1 bpp,"没有处理 bit error。8-bit 标量任一高位翻转会造成大幅 feature 改变,论文未评估。",安全目标与实际无线鲁棒性不同;lossless 假设、密钥/攻击者模型和 feature payload 开销限制工程结论。
2025,core,Joint Resources Optimization for Soft Video Transmission Over IRS-Assisted SR Network,10.1109/tcsvt.2025.3531653,IRS-assisted symbiotic radio 的软视频传输,上层理论/资源变量；论文不单独定义可发送语义格式,类别 5：沿用底层链路或抽象速率—效用模型,是连续域无线 JSCC;不是数字语义通信,HEVC&CTC:Cactus；Kimono；ParkScene；Tennis 等,SoftCast；不同接收合并；IRS；资源优化方案；数字 H.264；LDPC 类参考,PSNR；MSE；CSNR；收敛；主；次用户性能,SNR = 5dB；SNR = 7 dB；SNR = 5 dB,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,"需要 CSI 和复杂交替优化;没有离散调制、packet/error control,也未用高层语义。"
2025,core,ResiComp: Loss-Resilient Image Compression via Dual-Functional Masked Visual Token Modeling,10.1109/tcsvt.2025.3539747,不可靠网络上的图像压缩与丢包恢复,显式数字语义表示：bit、离散 token 或码本 index,类别 4：离散 bit/index/packet error 被显式建模或联合训练,"是数字鲁棒语义/视觉传输,显式处理 packet loss",Kodak；CLIC；DIV2K；真实网络 traces；packet-level simulation,BPG；VVC；VTM；ELIC；TCM 等 NIC；VTM+FEC；ELIC+FEC；UEP；冗余方案,PSNR；bpp；BD-rate；packet loss rate；decoding failure probability；latency；complexity,,0.3 bpp,是。论文把离散错误/丢失放进训练或恢复流程，因而正面处理了数字变量受损后的语义恢复。,"未深度融合调制、soft information 和物理层 HARQ;高丢包恢复依赖 learned prior,可能产生语义幻觉。"
2025,core,Semantic and Saliency-Aware Scalable Image Coding Toward Human-Machine Collaboration,10.1109/tcsvt.2025.3574747,人机协同的 scalable 图像编码,数字压缩 bitstream 或量化 feature；无线接口未纳入研究,类别 1：数字压缩后默认可靠传输/存储,是数字任务导向编码;无信道,COCO；ImageNet；Kodak；CLIC,VVC；VTM；LIC；feature coding；scalable human-machine coding 方法,bbox；mask mAP；Top-1；PSNR；MS-SSIM；bpp；rate saving；latency,,,未评估 base-layer loss;实际中 base 应获更强 UEP。,多任务训练和 base dependency 带来扩展性/单点失败问题;无线错误仍是空白。
2025,related,VAAC-IM: Motion-Aware Viewing Area Adaptive Control in Immersive Media Transmission,10.1109/tcsvt.2025.3549431,沉浸式媒体 viewport 自适应传输,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,"边界相关:传输系统优化,非语义通信/JSCC",MMSys immersive media traces；多场景用户视角轨迹,固定 viewport；segment-based prediction 与多种 adaptive control,data traffic；prediction accuracy；black edge；latency；QoE,,,"不处理误码,主要风险是 viewport prediction miss。",‘显著/视野相关’不等于语义通信;视频编码和无线错误均被当作黑盒。
2026,core,DRSW: Dual-Stage Robust Semantic Watermarking for Image Semantic Communication,10.1109/tcsvt.2025.3613856,图像语义通信版权保护/鲁棒水印,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,核心语义通信安全;扰动层不是严格物理信道,通用图像与预训练 image semantic communication 模型,HiDDeN；MBRS 等 robust watermarking；像素域方法；WITT；SC backbone,watermark BER；ACC；PSNR；SSIM；下游任务 accuracy gap；FLOPs；MACs,,,"处理水印 bit 的恢复,但未显式处理传输 bit/index error;‘channel noise’不可等同无线 bit flip。","攻击集有限,缺少自适应攻击、密钥安全和真实 RF/packet 实验。"
2026,related,Generative Human Video Compression With Multi-Granularity Temporal Trajectory Factorization,10.1109/tcsvt.2025.3596815,带宽受限的人体视频生成式压缩,数字压缩 bitstream 或量化 feature；无线接口未纳入研究,类别 1：数字压缩后默认可靠传输/存储,"边界相关:超低码率数字视频压缩,无信道",TEDTalk；TikTok；JVET-GFV,VVC；VTM；MRAA；TPSM；CFTE；LIA；DPE 等 generative face；human codecs,DISTS；LPIPS；FVD；BD-rate；用户偏好；kbps,,,"轨迹包丢失会引发长时漂移,但未评估。",生成结果不保证像素真实性;人物域外泛化、错误传播与实时性仍受限。
2026,related,Joint Semantic and Coded Generation for Conditional Latent Coding,10.1109/tcsvt.2026.3702531,超低码率生成式图像压缩,数字压缩 bitstream 或量化 feature；无线接口未纳入研究,类别 1：数字压缩后默认可靠传输/存储,边界相关;缩写 JSCCL 不是 Joint Source-Channel Coding,Kodak；CLIC；Tecnick,VVC；VTM；ELIC；TCM；HiFiC；生成式；扩散压缩方法,PSNR；MS-SSIM；LPIPS；FID；BD-rate；bpp；编码；解码时延,,0.15 bpp；0.2 bpp；0.01 bpp；0.069 bpp；0.061 bpp；0.059 bpp；3 bpp；0.063 bpp,没有 bit/token corruption。,"标题缩写易误判;依赖大型视觉语言/扩散模型,文本开销、时延和幻觉需谨慎。"
2026,related,MarsQE: Semantic-Informed Quality Enhancement for Compressed Martian Image,10.1109/tcsvt.2025.3643953,火星压缩图像质量增强,数字压缩 bitstream 或量化 feature；无线接口未纳入研究,类别 1：数字压缩后默认可靠传输/存储,"边界相关:遥测下游增强,不是通信编码/JSCC","Mars32K；MIC,Earth DIV2K 辅助",JPEG；BPG；HEVC 后处理与多种 restoration；enhancement 网络,PSNR；SSIM；LPIPS；BD-rate；类别级 ΔPSNR；FLOPs；MACs,,,"不处理 bit error,只减轻有损压缩伪影。",不能增加已丢失的科学真实性;生成/增强细节需防止误导地质判断。
2026,related,Semantics Disentanglement and Composition for Universal Image Coding with Efficiently LLM Reasoning and Generative Diffusion,10.1109/tcsvt.2026.3695062,通用人机视觉的可组合图像编码,显式数字语义表示：bit、离散 token 或码本 index,类别 1：形成数字表示，但物理链路按可靠 bitstream 抽象,"边界相关:数字语义/生成式编码,无信道",COCO；ImageNet；Kodak；CLIC；DIV2K；Open Images,VVC；VTM；learned image codecs；feature coding 与生成式 scalable methods,bbox；mask mAP；Top-1；PSNR；MS-SSIM；LPIPS；FID；DISTS；bpp；latency,,0.1321 bpp；0.1264 bpp；0.0828 bpp；0.1131 bpp；0.0906bpp；0.1238 bpp；0.0512 bpp,未处理 label/token/bit error;粗标签错误可能全局改变 diffusion 结果。,"2026 Early Access、卷号待定;LLM 决策和 diffusion 计算重,真实性与错误敏感性待验证。"
2026,related,Sketch-Based Extreme Underwater Image Compression Network,10.1109/tcsvt.2025.3634125,极低码率水下图像传输/压缩,数字压缩 bitstream 或量化 feature；无线接口未纳入研究,类别 1：数字压缩后默认可靠传输/存储,"边界相关:数字源压缩,无实际水声信道",USOD；UIEB；EUVP 等水下图像集,JPEG；JPEG2000；BPG；VVC；PPECN；生成式和水下专用压缩方法,bpp；LPIPS；DISTS；FID；PI；前景质量；saliency PR；FLOPs,,0.03 bpp；0.06 bpp；0.01 bpp,未分析 packet/bit error 对 sketch 拓扑的灾难性影响。,与 2023 PPECN 同属源编码演进;真实水声信道、错误恢复和科学真实性仍缺失。
