year,tier,title,doi,task_type,digitalization_class,channel_handling_class,strict_digital,datasets,baselines,metrics,snr_conditions,rate_conditions,discrete_error_judgment,limitations
2023,core,Task-Oriented Explainable Semantic Communications,10.1109/twc.2023.3269444,任务导向推理,显式数字语义表示：bit、离散 token 或码本 index,类别 1：形成数字表示，但物理链路按可靠 bitstream 抽象,是：存在明确的离散/有限数字接口,MNIST；CelebA,DeepJSCC；JPEG；VAE；JSCC,PSNR；accuracy,,,否。论文默认数字码流可靠到达，未评估 bit flip、熵码失同步或 packet loss 对语义变量的影响。,全文没有完整闭合语义表示到 bit/symbol/packet 的实现链；残余误码、控制开销和真实射频条件仍是外推风险。
2023,core,The Age of Incorrect Information: An Enabler of Semantics-Empowered Communication,10.1109/twc.2022.3213227,通用语义通信系统,上层理论/资源变量；论文不单独定义可发送语义格式,类别 5：沿用底层链路或抽象速率—效用模型,否/不适用：主接口为连续 JSCC 或上层模型,,,AoI；utility,,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,结果依赖抽象效用曲线、仿真信道和理想状态信息；底层语义 codec、控制信令与有限时延开销常未共同计入。
2024,core,A GAN-Based Semantic Communication for Text Without CSI,10.1109/twc.2024.3415363,文本传输或语言任务,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,Europarl,GAN；Transformer；RSMA；PPO；DQN；OFDM；BERT；CLIP,BLEU；energy efficiency；semantic similarity；utility；NMSE；PER,SNR = 9 dB；SNR = 15 dB；SNR = 24 dB,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,全文没有完整闭合语义表示到 bit/symbol/packet 的实现链；残余误码、控制开销和真实射频条件仍是外推风险。
2024,core,A Robust Semantic Text Communication System,10.1109/twc.2024.3381950,文本传输或语言任务,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,Europarl；LibriSpeech,DeepSC；LDPC；VQ-VAE；VAE；Transformer；QAM；OFDM；BERT,BLEU；BERTScore；semantic similarity,,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,全文没有完整闭合语义表示到 bit/symbol/packet 的实现链；残余误码、控制开销和真实射频条件仍是外推风险。
2024,core,Age of Incorrect Information Minimization for Semantic-Empowered NOMA System in S-IoT,10.1109/twc.2023.3334761,语义感知资源分配与网络优化,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,,NOMA；PPO；DDPG；SAC；CLIP,AoI；utility,SNR = 15 dB；SNR = 20 dB,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,全文没有完整闭合语义表示到 bit/symbol/packet 的实现链；残余误码、控制开销和真实射频条件仍是外推风险。
2024,related,AirNet: Neural Network Transmission Over the Air,10.1109/twc.2024.3388329,图像传输、压缩或生成,连续神经 JSCC latent / 实复信道符号,类别 3：连续语义变量直接经过有噪声信道并端到端恢复,否/不适用：主接口为连续 JSCC 或上层模型,ImageNet；Tiny ImageNet,ResNet,accuracy；PER,SNR of 20dB；SNR of 5dB；SNR of 30dB,,不适用 VQ index 跳变。论文处理的是连续噪声/衰落；这不能自动证明量化和调制后的数字链路鲁棒性。,主接口仍是连续神经符号；量化、有限星座、同步、信道估计和残余误码未形成完整数字实现。
2024,related,Analysis on Peak Age of Status Updates in Task-Oriented Machine- Type Communications,10.1109/twc.2024.3430903,任务导向推理,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,,,accuracy；energy efficiency,,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,全文没有完整闭合语义表示到 bit/symbol/packet 的实现链；残余误码、控制开销和真实射频条件仍是外推风险。
2024,related,AoI-Aware Interference Mitigation for Task-Oriented Multicasting in Multi-Cell NOMA Networks,10.1109/twc.2024.3381480,任务导向推理,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,,NOMA,AoI；PER,,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,全文没有完整闭合语义表示到 bit/symbol/packet 的实现链；残余误码、控制开销和真实射频条件仍是外推风险。
2024,core,CDDM: Channel Denoising Diffusion Models for Wireless Semantic Communications,10.1109/twc.2024.3379244,图像传输、压缩或生成,有限星座/标准数字波形接口,类别 2：语义特征映射为调制符号或编码包,是：存在明确的离散/有限数字接口,DIV2K,JPEG2000；LDPC；GAN；Transformer；QAM；JPEG；JSCC,PSNR；accuracy；SSIM；MSE,SNR= 5 dB；SNR= 15 dB；SNR= 20 dB；SNR= 10 dB；SNR of 10 dB；SNR of 20 dB,,部分。论文有真实数字物理层接口，但若语义 decoder 只看到信道译码后的结果，残余 bit/index 跳变仍未必被端到端处理。,全文没有完整闭合语义表示到 bit/symbol/packet 的实现链；残余误码、控制开销和真实射频条件仍是外推风险。
2024,core,Compression Before Fusion: Broadcast Semantic Communication System for Heterogeneous Tasks,10.1109/twc.2024.3483314,任务导向推理,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,,BPG；JSCC；SSCC；ETC,PSNR；accuracy；classification accuracy；mIoU；SER,SNR = 7dB；SNR from -5dB；SNR from -10dB,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,全文没有完整闭合语义表示到 bit/symbol/packet 的实现链；残余误码、控制开销和真实射频条件仍是外推风险。
2024,core,Deep Joint Source-Channel Coding for Adaptive Image Transmission Over MIMO Channels,10.1109/twc.2024.3422794,图像传输、压缩或生成,连续神经 JSCC latent / 实复信道符号,类别 3：连续语义变量直接经过有噪声信道并端到端恢复,否/不适用：主接口为连续 JSCC 或上层模型,ImageNet；CelebA；Kodak,DeepJSCC；JPEG2000；BPG；LDPC；Turbo；ViT；Transformer；JPEG；JSCC；OFDM；VTM,PSNR；LPIPS；mAP,SNR 1dB；SNR=5 dB；SNR 5 dB；SNR=12 dB；SNR of 1.07 dB,,不适用 VQ index 跳变。论文处理的是连续噪声/衰落；这不能自动证明量化和调制后的数字链路鲁棒性。,主接口仍是连续神经符号；量化、有限星座、同步、信道估计和残余误码未形成完整数字实现。
2024,core,Deep Learning-Empowered Semantic Communication Systems With a Shared Knowledge Base,10.1109/twc.2023.3330744,文本传输或语言任务,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,,DeepSC；LDPC；Polar；Transformer；QAM；Reed-Solomon,BLEU；semantic similarity；BER；SER；PER,SNR = 3 dB,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,全文没有完整闭合语义表示到 bit/symbol/packet 的实现链；残余误码、控制开销和真实射频条件仍是外推风险。
2024,core,Features Disentangled Semantic Broadcast Communication Networks,10.1109/twc.2023.3334225,图像传输、压缩或生成,数字压缩 bitstream 或量化 feature；无线接口未纳入研究,类别 1：数字压缩后默认可靠传输/存储,是：存在明确的离散/有限数字接口,,DeepJSCC；BPG；JSCC；OFDM,PSNR；accuracy；semantic similarity,,,否。论文默认数字码流可靠到达，未评估 bit flip、熵码失同步或 packet loss 对语义变量的影响。,全文没有完整闭合语义表示到 bit/symbol/packet 的实现链；残余误码、控制开销和真实射频条件仍是外推风险。
2024,core,Goal-Oriented Semantic Communications for Robotic Waypoint Transmission: The Value and Age of Information Approach,10.1109/twc.2024.3424493,任务导向推理,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,,DQN；ETC,AoI；latency；MSE；PER,,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,全文没有完整闭合语义表示到 bit/symbol/packet 的实现链；残余误码、控制开销和真实射频条件仍是外推风险。
2024,related,Goal-Oriented Wireless Communication Resource Allocation for Cyber-Physical Systems,10.1109/twc.2024.3432918,任务导向推理,上层理论/资源变量；论文不单独定义可发送语义格式,类别 5：沿用底层链路或抽象速率—效用模型,否/不适用：主接口为连续 JSCC 或上层模型,MNIST,,accuracy；latency；utility；throughput；PER,,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,结果依赖抽象效用曲线、仿真信道和理想状态信息；底层语义 codec、控制信令与有限时延开销常未共同计入。
2024,core,Hybrid Semantic-Shannon Communications,10.1109/twc.2024.3376998,文本传输或语言任务,上层理论/资源变量；论文不单独定义可发送语义格式,类别 5：沿用底层链路或抽象速率—效用模型,否/不适用：主接口为连续 JSCC 或上层模型,,DeepSC；DeepJSCC；QAM；NOMA；JSCC；OFDM；HM,latency；BER；PER,,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,结果依赖抽象效用曲线、仿真信道和理想状态信息；底层语义 codec、控制信令与有限时延开销常未共同计入。
2024,core,Interference Suppressed NOMA for Semantic-Aware Communication Networks,10.1109/twc.2024.3371775,图像传输、压缩或生成,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,Cityscapes,DeepJSCC；NOMA；JSCC,PSNR；SSIM；MS-SSIM；mAP；accuracy；spectral efficiency；BER；PER,,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,全文没有完整闭合语义表示到 bit/symbol/packet 的实现链；残余误码、控制开销和真实射频条件仍是外推风险。
2024,core,Joint URLLC Traffic Scheduling and Resource Allocation for Semantic Communication Systems,10.1109/twc.2023.3339239,语义感知资源分配与网络优化,上层理论/资源变量；论文不单独定义可发送语义格式,类别 5：沿用底层链路或抽象速率—效用模型,否/不适用：主接口为连续 JSCC 或上层模型,CIFAR-10,Transformer,PSNR；accuracy；MSE,,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,结果依赖抽象效用曲线、仿真信道和理想状态信息；底层语义 codec、控制信令与有限时延开销常未共同计入。
2024,core,Knowledge Distillation-Based Semantic Communications for Multiple Users,10.1109/twc.2023.3336941,通用语义通信系统,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,Europarl,DeepSC；LDPC；Transformer；QAM；BERT,BLEU；mAP；accuracy；BER,,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,全文没有完整闭合语义表示到 bit/symbol/packet 的实现链；残余误码、控制开销和真实射频条件仍是外推风险。
2024,core,Machine Learning Enabled Heterogeneous Semantic and Bit Communication,10.1109/twc.2024.3397635,语义感知资源分配与网络优化,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,,NOMA；TD3；HM,spectral efficiency；semantic similarity；throughput；SER,,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,全文没有完整闭合语义表示到 bit/symbol/packet 的实现链；残余误码、控制开销和真实射频条件仍是外推风险。
2024,related,Multi-Device Task-Oriented Communication via Maximal Coding Rate Reduction,10.1109/twc.2024.3461336,任务导向推理,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,CIFAR-10,ResNet,mAP；accuracy；classification accuracy；latency；MSE；NMSE；PER,,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,全文没有完整闭合语义表示到 bit/symbol/packet 的实现链；残余误码、控制开销和真实射频条件仍是外推风险。
2024,core,Neuro-Symbolic Causal Reasoning Meets Signaling Game for Emergent Semantic Communications,10.1109/twc.2023.3319981,文本传输或语言任务,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,,Transformer；QAM,mAP；latency；semantic similarity；utility；NMSE；BER；PER,SNR of 20 dB,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,全文没有完整闭合语义表示到 bit/symbol/packet 的实现链；残余误码、控制开销和真实射频条件仍是外推风险。
2024,core,Optimization of Image Transmission in Cooperative Semantic Communication Networks,10.1109/twc.2023.3282906,图像传输、压缩或生成,上层理论/资源变量；论文不单独定义可发送语义格式,类别 5：沿用底层链路或抽象速率—效用模型,否/不适用：主接口为连续 JSCC 或上层模型,,DQN,latency；semantic similarity,,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,结果依赖抽象效用曲线、仿真信道和理想状态信息；底层语义 codec、控制信令与有限时延开销常未共同计入。
2024,core,Orthogonal Model Division Multiple Access,10.1109/twc.2024.3384421,图像传输、压缩或生成,连续神经 JSCC latent / 实复信道符号,类别 3：连续语义变量直接经过有噪声信道并端到端恢复,否/不适用：主接口为连续 JSCC 或上层模型,,DeepSC；DeepJSCC；NOMA；DeepSC-S；JSCC,SSIM；MS-SSIM；BLEU,,CBR = 0.166；CBR = 0.041,不适用 VQ index 跳变。论文处理的是连续噪声/衰落；这不能自动证明量化和调制后的数字链路鲁棒性。,主接口仍是连续神经符号；量化、有限星座、同步、信道估计和残余误码未形成完整数字实现。
2024,core,Performance Limits of a Deep Learning-Enabled Text Semantic Communication Under Interference,10.1109/twc.2024.3370497,文本传输或语言任务,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,,DeepSC,PER,,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,全文没有完整闭合语义表示到 bit/symbol/packet 的实现链；残余误码、控制开销和真实射频条件仍是外推风险。
2024,core,Privacy-Preserving Task-Oriented Semantic Communications Against Model Inversion Attacks,10.1109/twc.2024.3369170,任务导向推理,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,CIFAR-10；MNIST；ImageNet,DeepJSCC；JSCC,PSNR；SSIM；accuracy；classification accuracy；latency；utility；PER,SNR=15dB；SNR = 15dB,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,全文没有完整闭合语义表示到 bit/symbol/packet 的实现链；残余误码、控制开销和真实射频条件仍是外推风险。
2024,core,QoE-Based Semantic-Aware Resource Allocation for Multi-Task Networks,10.1109/twc.2024.3386807,语义感知资源分配与网络优化,上层理论/资源变量；论文不单独定义可发送语义格式,类别 5：沿用底层链路或抽象速率—效用模型,否/不适用：主接口为连续 JSCC 或上层模型,,DeepSC,utility；PER,,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,结果依赖抽象效用曲线、仿真信道和理想状态信息；底层语义 codec、控制信令与有限时延开销常未共同计入。
2024,core,Reasoning Over the Air: A Reasoning- Based Implicit Semantic-Aware Communication Framework,10.1109/twc.2023.3312115,通用语义通信系统,显式数字语义表示：bit、离散 token 或码本 index,类别 2：数字语义变量接入调制、信道编码或 OFDM 链路,是：存在明确的离散/有限数字接口,,DeepSC；Transformer；JSCC；ETC,mAP；accuracy,SNR=4 dB；SNR=7dB；SNR=0 dB,,部分。论文有真实数字物理层接口，但若语义 decoder 只看到信道译码后的结果，残余 bit/index 跳变仍未必被端到端处理。,全文没有完整闭合语义表示到 bit/symbol/packet 的实现链；残余误码、控制开销和真实射频条件仍是外推风险。
2024,core,Resource Allocation and Common Message Selection for Task-Oriented Semantic Information Transmission With RSMA,10.1109/twc.2023.3327127,任务导向推理,上层理论/资源变量；论文不单独定义可发送语义格式,类别 5：沿用底层链路或抽象速率—效用模型,否/不适用：主接口为连续 JSCC 或上层模型,,Transformer；NOMA；RSMA；PPO；OFDM；YOLO,energy efficiency；BER,,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,结果依赖抽象效用曲线、仿真信道和理想状态信息；底层语义 codec、控制信令与有限时延开销常未共同计入。
2024,core,Resource Optimization for Semantic-Aware Networks With Task Offloading,10.1109/twc.2024.3390407,语义感知资源分配与网络优化,上层理论/资源变量；论文不单独定义可发送语义格式,类别 5：沿用底层链路或抽象速率—效用模型,否/不适用：主接口为连续 JSCC 或上层模型,,DeepSC；Transformer；DQN；CLIP,accuracy；latency；PER,,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,结果依赖抽象效用曲线、仿真信道和理想状态信息；底层语义 codec、控制信令与有限时延开销常未共同计入。
2024,core,Robust Image Semantic Coding With Learnable CSI Fusion Masking Over MIMO Fading Channels,10.1109/twc.2024.3409735,图像传输、压缩或生成,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,,NTSCC；WITT；JPEG；BPG；LDPC；Transformer；QAM；ADJSCC；JSCC；SSCC,PSNR；SSIM；MS-SSIM；mAP；accuracy；MSE；throughput；PER,SNR = 8 dB,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,全文没有完整闭合语义表示到 bit/symbol/packet 的实现链；残余误码、控制开销和真实射频条件仍是外推风险。
2024,core,Semantic Communications for Image Recovery and Classification via Deep Joint Source and Channel Coding,10.1109/twc.2023.3349330,图像传输、压缩或生成,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,CIFAR-10；ImageNet；MNIST,BPG；Transformer；JSCC；SSCC；ResNet,PSNR；SSIM；accuracy；classification accuracy；MSE；PER,SNR of 21 dB；SNR of -3 dB,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,全文没有完整闭合语义表示到 bit/symbol/packet 的实现链；残余误码、控制开销和真实射频条件仍是外推风险。
2024,core,Semantic Feature Division Multiple Access for Multi-User Digital Interference Networks,10.1109/twc.2024.3427675,图像传输、压缩或生成,显式数字语义表示：bit、离散 token 或码本 index,类别 1：形成数字表示，但物理链路按可靠 bitstream 抽象,是：存在明确的离散/有限数字接口,MNIST；CelebA,WITT；VQ-VAE；VAE；Transformer；NOMA；JSCC；BERT,PSNR；SSIM；MS-SSIM；accuracy；classification accuracy；MSE,SNR = 5dB；SNR=5dB,,否。论文默认数字码流可靠到达，未评估 bit flip、熵码失同步或 packet loss 对语义变量的影响。,全文没有完整闭合语义表示到 bit/symbol/packet 的实现链；残余误码、控制开销和真实射频条件仍是外推风险。
2024,core,Semantic Feature Scheduling and Rate Control in Multi-Modal Distributed Network,10.1109/twc.2024.3480352,多模态检索与任务通信,上层理论/资源变量；论文不单独定义可发送语义格式,类别 5：沿用底层链路或抽象速率—效用模型,否/不适用：主接口为连续 JSCC 或上层模型,,DeepJSCC；LDPC；VQ-VAE；VAE；Transformer；NOMA；JSCC；OFDM；BERT；ETC,accuracy；latency；spectral efficiency；BER,,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,结果依赖抽象效用曲线、仿真信道和理想状态信息；底层语义 codec、控制信令与有限时延开销常未共同计入。
2024,core,Semantic Knowledge Base-Enabled Zero-Shot Multi-Level Feature Transmission Optimization,10.1109/twc.2023.3323380,图像传输、压缩或生成,上层理论/资源变量；论文不单独定义可发送语义格式,类别 5：沿用底层链路或抽象速率—效用模型,否/不适用：主接口为连续 JSCC 或上层模型,,ETC,accuracy；classification accuracy；latency,,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,结果依赖抽象效用曲线、仿真信道和理想状态信息；底层语义 codec、控制信令与有限时延开销常未共同计入。
2024,core,Semantic MIMO Systems for Speech-to-Text Transmission,10.1109/twc.2024.3472612,语音/音频传输或识别,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,LibriSpeech,DeepSC；VQ-VAE；VAE；Transformer；SAC；DeepSC-S；DeepSC-ST；OFDM,WER；accuracy；latency；MSE,SNR = -8 dB,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,全文没有完整闭合语义表示到 bit/symbol/packet 的实现链；残余误码、控制开销和真实射频条件仍是外推风险。
2024,core,STAR-RIS Assisted Information Transmission Based on Fairness in Semantic Communication Systems,10.1109/twc.2024.3449414,通用语义通信系统,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,,DeepSC；NOMA；RSMA；BERT；ETC,accuracy；semantic similarity；utility；PER,,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,全文没有完整闭合语义表示到 bit/symbol/packet 的实现链；残余误码、控制开销和真实射频条件仍是外推风险。
2024,related,Task-Oriented Communication for Edge Video Analytics,10.1109/twc.2023.3314888,视频传输、生成或控制,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,COCO；HEVC,JPEG；WebP；HEVC；ResNet,mAP；accuracy；latency；IoU；PER,,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,全文没有完整闭合语义表示到 bit/symbol/packet 的实现链；残余误码、控制开销和真实射频条件仍是外推风险。
