year,tier,title,doi,task_type,digitalization_class,channel_handling_class,strict_digital,datasets,baselines,metrics,snr_conditions,rate_conditions,discrete_error_judgment,limitations
2024,core,Speech Semantic Communication Based on Swin Transformer,10.1109/tccn.2023.3345858,语音/音频传输或识别,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,,Turbo；QAM；Swin Transformer；DeepSC；DeepSC-S,MSE；FLOPs；PESQ,SNR = 1 dB；SNR = -12 dB；SNR = -8 dB；SNR = -3 dB；SNR = 3 dB；SNR = 6 dB；SNR = 8 dB,,未形成可复核的 bit/index/token 错误闭环。,"没有完整离散接口,无法直接回答 bit/index/token 跳变问题。 未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。"
2025,core,A Physical Layer Security Framework for IRS-Assisted Integrated Sensing and Semantic Communication Systems,10.1109/tccn.2025.3589577,语义感知资源分配与网络优化,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,,BPG；DeepSC,accuracy；semantic similarity；PER,,,不适用 VQ index/bit 跳变;论文处理的是连续扰动和信道失配。,"没有完整离散接口,无法直接回答 bit/index/token 跳变问题。 未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。 未报告统一可复核的 payload bit 数/CBR,跨论文带宽比较受限。"
2025,core,A Theory for Semantic Channel Coding With Many-to-One Source,10.1109/tccn.2025.3544275,语义信息度量与理论,上层理论/资源变量；论文不单独定义可发送语义格式,类别 5：沿用底层链路或抽象速率—效用模型,否/不适用：主接口为连续 JSCC 或上层模型,CIFAR10；MNIST,ResNet,accuracy；classification accuracy；PER,,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,主要局限取决于训练/测试分布、信道假设和系统开销是否完整公开。
2025,core,Adversarial Attacks Against Shared Knowledge Interpretation in Semantic Communications,10.1109/tccn.2025.3528891,语音/音频传输或识别,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,,Polar；VAE,MSE；accuracy；latency；PESQ,SNR = 8 dB；SNR = 0 dB；SNR = 20dB；SNR = 8dB,,未形成可复核的 bit/index/token 错误闭环。,"没有完整离散接口,无法直接回答 bit/index/token 跳变问题。 未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。 未报告统一可复核的 payload bit 数/CBR,跨论文带宽比较受限。"
2025,core,Conceptual Learning and Causal Reasoning for Semantic Communication,10.1109/tccn.2025.3543834,任务导向推理,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,,QAM；VAE；BERT,mAP；accuracy；semantic similarity；classification accuracy；PER,SNR of -20dB,,未形成可复核的 bit/index/token 错误闭环。,"没有完整离散接口,无法直接回答 bit/index/token 跳变问题。 未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。"
2025,core,Content Adaptive Distributed Joint Source-Channel Coding for Image Transmission With Hyperprior,10.1109/tccn.2024.3438371,图像传输、压缩或生成,连续神经 JSCC latent / 实复信道符号,类别 3：连续语义变量直接经过有噪声信道并端到端恢复,否/不适用：主接口为连续 JSCC 或上层模型,KITTI,JPEG；JPEG2000；BPG；ViT；JSCC,PSNR；SSIM；MS-SSIM；MSE；mAP；FLOPs；PER,SNR = 5 dB；SNR of 28.12 dB；SNR = 10 dB,compression ratio of 0.065,"部分:存在数字接口与信道模型,但若正文只报告 SNR/重建质量而未注入 bit/index error,就不能宣称解决跳变问题。","未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。"
2025,core,Deep Reinforced Feature Compression and Channel Equalization for Semantic Communications,10.1109/tccn.2025.3549782,图像传输、压缩或生成,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,,DeepJSCC；JPEG；LDPC；Turbo；QAM；VAE；SwinJSCC；JSCC,PSNR；accuracy；FLOPs；classification accuracy；PER,,,"部分:存在数字接口与信道模型,但若正文只报告 SNR/重建质量而未注入 bit/index error,就不能宣称解决跳变问题。","未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。"
2025,core,Digital Semantic Communication System With a Learnable Channel Estimator for OFDM Transmission,10.1109/tccn.2025.3533008,图像传输、压缩或生成,显式数字语义表示：bit、离散 token 或码本 index,类别 1：形成数字表示，但物理链路按可靠 bitstream 抽象,是：存在明确的离散/有限数字接口,Kodak,ResNet；JSCC；OFDM,PSNR；SSIM；MSE；mAP；accuracy；PER,,,"部分:存在数字接口与信道模型,但若正文只报告 SNR/重建质量而未注入 bit/index error,就不能宣称解决跳变问题。","未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。"
2025,core,Digital-SC: Digital Semantic Communication With Adaptive Network Split and Learned Non-Linear Quantization,10.1109/tccn.2024.3510586,图像传输、压缩或生成,显式数字语义表示：bit、离散 token 或码本 index,类别 4：离散 bit/index/packet error 被显式建模或联合训练,是：存在明确的离散/有限数字接口,ImageNet；CIFAR-10,BPG；QAM；ResNet；JSCC；BERT,accuracy；FLOPs；classification accuracy；BER,at 6dB SNR；at 3dB SNR；at 12dB SNR,,是。论文把离散错误/丢失放进训练或恢复流程，因而正面处理了数字变量受损后的语义恢复。,错误模型仍主要来自仿真；码本规模、包头/FEC、真实调制和 burst error 是否与训练分布一致，需要原型或真实链路验证。
2025,core,EESC-S: An Emotion-Enhanced Semantic Communication Framework for Speech Transmission,10.1109/tccn.2025.3543387,语音/音频传输或识别,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,LibriSpeech,DeepJSCC；LDPC；Turbo；QAM；Swin Transformer；DeepSC；DeepSC-S；JSCC；OFDM,MSE；mAP；accuracy；precision；FLOPs；PESQ；SER；PER,,,不适用 VQ index/bit 跳变;论文处理的是连续扰动和信道失配。,"没有完整离散接口,无法直接回答 bit/index/token 跳变问题。 未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。"
2025,core,"Fluid Antenna-Enabled Near-Field Integrated Sensing, Computing, and Semantic Communication for Emerging Applications",10.1109/tccn.2025.3592294,通用语义通信系统,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,,,MSE；accuracy；recall；latency；PER,,,未形成可复核的 bit/index/token 错误闭环。,"没有完整离散接口,无法直接回答 bit/index/token 跳变问题。 未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。"
2025,core,GAI-Enhanced Robust Semantic Communication With Asymmetric Architecture,10.1109/tccn.2024.3520132,任务导向推理,上层理论/资源变量；论文不单独定义可发送语义格式,类别 5：沿用底层链路或抽象速率—效用模型,否/不适用：主接口为连续 JSCC 或上层模型,Kodak；DIV2K；ImageNet；CIFAR-10,DeepJSCC；WITT；JPEG；BPG；LDPC；Swin Transformer；JSCC,PSNR；SSIM；MS-SSIM；MSE；Top-1；Top-5；accuracy；latency；classification accuracy,SNR = 12 dB,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,"没有完整离散接口,无法直接回答 bit/index/token 跳变问题。 未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。"
2025,core,Generative AI Empowered Semantic Feature Multiple Access (SFMA) Over Wireless Networks,10.1109/tccn.2025.3529692,视频传输、生成或控制,连续神经 JSCC latent / 实复信道符号,类别 3：连续语义变量直接经过有噪声信道并端到端恢复,否/不适用：主接口为连续 JSCC 或上层模型,CIFAR-10,JSCC；OFDM,PSNR；SSIM；MS-SSIM；LPIPS；MSE；mAP；accuracy；PER,,,未形成可复核的 bit/index/token 错误闭环。,"没有完整离散接口,无法直接回答 bit/index/token 跳变问题。 未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。"
2025,related,Generative AI Meets Wireless Networking: An Interactive Paradigm for Intent-Driven Communications,10.1109/tccn.2025.3567613,综述、架构与研究路线,上层理论/资源变量；论文不单独定义可发送语义格式,类别 5：沿用底层链路或抽象速率—效用模型,否/不适用：主接口为连续 JSCC 或上层模型,,,,,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,"没有完整离散接口,无法直接回答 bit/index/token 跳变问题。 未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。 未报告统一可复核的 payload bit 数/CBR,跨论文带宽比较受限。 该文属于边界谱系,不能用它代表端到端语义通信主线。"
2025,core,Generative AI-Driven Incentive Mechanism for Semantic Communications in RSMA Networks,10.1109/tccn.2025.3556751,图像传输、压缩或生成,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,COCO；ImageNet；Cityscapes,ResNet；DeepLab；PPO；SAC,bitrate；accuracy；PER,SNR from 0 dB,,未形成可复核的 bit/index/token 错误闭环。,"没有完整离散接口,无法直接回答 bit/index/token 跳变问题。 未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。"
2025,related,"Generative AI-Driven Semantic Communication Networks: Architecture, Technologies, and Applications",10.1109/tccn.2024.3435524,综述、架构与研究路线,上层理论/资源变量；论文不单独定义可发送语义格式,类别 5：沿用底层链路或抽象速率—效用模型,否/不适用：主接口为连续 JSCC 或上层模型,,,,,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,"没有完整离散接口,无法直接回答 bit/index/token 跳变问题。 未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。 该文属于边界谱系,不能用它代表端到端语义通信主线。"
2025,core,Heterogeneous Gateway Planning for Semantic Communication in Industrial Networks,10.1109/tccn.2025.3544282,语义信息度量与理论,上层理论/资源变量；论文不单独定义可发送语义格式,类别 5：沿用底层链路或抽象速率—效用模型,否/不适用：主接口为连续 JSCC 或上层模型,,DQN,SSIM；mAP；throughput,,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,"没有完整离散接口,无法直接回答 bit/index/token 跳变问题。 未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。"
2025,core,Joint Source-Channel Coding for Channel-Adaptive Digital Semantic Communications,10.1109/tccn.2024.3422496,图像传输、压缩或生成,显式数字语义表示：bit、离散 token 或码本 index,类别 4：离散 bit/index/packet error 被显式建模或联合训练,是：存在明确的离散/有限数字接口,CIFAR-10；CIFAR-100；MNIST；Fashion-MNIST,DeepJSCC；JPEG；LDPC；QAM；JSCC,PSNR；MSE；mAP；accuracy；precision；latency；classification accuracy；BER,SNR = 5 dB；SNR = 1 dB,,"是:训练显式建模 bit flip 与 erasure,并利用解调不确定性提高数字 JSCC encoder/decoder 对信道和调制阶数变化的鲁棒性。",主要局限取决于训练/测试分布、信道假设和系统开销是否完整公开。
2025,core,Model-Enabled Task-Oriented Semantic Communications Through Knowledge Synchronization,10.1109/tccn.2025.3531461,任务导向推理,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,CelebA；MNIST,DeepJSCC；JPEG；LDPC；GAN；ResNet；JSCC,PSNR；accuracy；FLOPs；classification accuracy,,,未形成可复核的 bit/index/token 错误闭环。,"没有完整离散接口,无法直接回答 bit/index/token 跳变问题。 未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。"
2025,core,Optimizing Resource Allocation for Multi-Modal Semantic Communication in Mobile AIGC Networks: A Diffusion-Based Game Approach,10.1109/tccn.2025.3529747,多模态检索与任务通信,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,CelebA；FFHQ,JPEG；JPEG2000；VAE；PPO；SAC；SSCC；GPT；OFDM,PSNR；SSIM；FID；MSE；mAP；accuracy；QoE；latency；energy efficiency,SNR = 2 dB；SNR = 5 dB,,未形成可复核的 bit/index/token 错误闭环。,"没有完整离散接口,无法直接回答 bit/index/token 跳变问题。 未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。"
2025,core,Progressive Learned Image Transmission for Semantic Communication Using Hierarchical VAE,10.1109/tccn.2025.3546935,图像传输、压缩或生成,连续神经 JSCC latent / 实复信道符号,类别 3：连续语义变量直接经过有噪声信道并端到端恢复,否/不适用：主接口为连续 JSCC 或上层模型,Kodak；DIV2K；ImageNet,DeepJSCC；NTSCC；JPEG；JPEG2000；BPG；LDPC；Swin Transformer；VAE；ResNet；SwinJSCC；JSCC,PSNR；SSIM；MS-SSIM；LPIPS；MSE；latency,SNR = 10 dB；SNR of 10 dB,,不适用 VQ index/bit 跳变;论文处理的是连续扰动和信道失配。,"没有完整离散接口,无法直接回答 bit/index/token 跳变问题。 未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。"
2025,related,R-UAV-Net: Enhanced YOLOv4 With Graph-Semantic Compression for Transformative UAV Sensing in Paddy Agronomy,10.1109/tccn.2024.3452053,语义感知资源分配与网络优化,上层理论/资源变量；论文不单独定义可发送语义格式,类别 5：沿用底层链路或抽象速率—效用模型,否/不适用：主接口为连续 JSCC 或上层模型,,ViT；ResNet；YOLO,mAP；Top-1；accuracy；precision；throughput；PER；F1-score,,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,"没有完整离散接口,无法直接回答 bit/index/token 跳变问题。 未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。 未报告统一可复核的 payload bit 数/CBR,跨论文带宽比较受限。 该文属于边界谱系,不能用它代表端到端语义通信主线。"
2025,core,Rate-Distortion-Perception Controllable Joint Source-Channel Coding for High-Fidelity Generative Semantic Communications,10.1109/tccn.2024.3511960,语义信息度量与理论,连续神经 JSCC latent / 实复信道符号,类别 3：连续语义变量直接经过有噪声信道并端到端恢复,否/不适用：主接口为连续 JSCC 或上层模型,Kodak；Open Images；Cityscapes；HEVC,NTSCC；BPG；VVC；HEVC；LDPC；VTM；GAN；ELIC；HiFiC；JSCC,PSNR；FID；MSE；mAP；mIoU；latency；FLOPs；IoU；PER,SNR = 10dB,CBR = 0.0035；CBR = 0.009；CBR = 0.0192,不适用 VQ index/bit 跳变;论文处理的是连续扰动和信道失配。,"没有完整离散接口,无法直接回答 bit/index/token 跳变问题。 未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。"
2025,core,Semantic Image Encoding and Communication for Earth Observation With LEO Satellites,10.1109/tccn.2024.3451724,图像传输、压缩或生成,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,,,PSNR；mAP；accuracy；precision；MACs；energy efficiency；AUC,,,未形成可复核的 bit/index/token 错误闭环。,"没有完整离散接口,无法直接回答 bit/index/token 跳变问题。 未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。"
2025,related,Semantic Information Extraction and Multi-Agent Communication Optimization Based on Generative Pre-Trained Transformer,10.1109/tccn.2024.3482354,文本传输或语言任务,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,,,,,,未形成可复核的 bit/index/token 错误闭环。,"没有完整离散接口,无法直接回答 bit/index/token 跳变问题。 未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。 未报告统一可复核的 payload bit 数/CBR,跨论文带宽比较受限。 该文属于边界谱系,不能用它代表端到端语义通信主线。"
2025,core,Semantic Successive Refinement: A Generative AI-Aided Semantic Communication Framework,10.1109/tccn.2025.3526839,图像传输、压缩或生成,连续神经 JSCC latent / 实复信道符号,类别 3：连续语义变量直接经过有噪声信道并端到端恢复,否/不适用：主接口为连续 JSCC 或上层模型,CIFAR-10,DeepJSCC；WITT；JPEG；LDPC；QAM；Swin Transformer；VAE；VQ-VAE；JSCC；OFDM,PSNR；LPIPS；MSE；latency；throughput；PER,SNR from 0 dB；SNR = 15 dB；SNR = 0 dB,,未形成可复核的 bit/index/token 错误闭环。,"没有完整离散接口,无法直接回答 bit/index/token 跳变问题。 未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。"
2025,core,Semantic Utility Loss of Information for Energy Efficient Semantic Status Update Communications,10.1109/tccn.2024.3417627,语义感知资源分配与网络优化,上层理论/资源变量；论文不单独定义可发送语义格式,类别 5：沿用底层链路或抽象速率—效用模型,否/不适用：主接口为连续 JSCC 或上层模型,MNIST,LDPC,accuracy；recall；latency；AoII；energy efficiency,SNR=12 dB；SNR=5 dB,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,"没有完整离散接口,无法直接回答 bit/index/token 跳变问题。 未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。"
2025,core,SINR-Adaptive and CBR-Controllable Semantic Cellular Communication Considering Imperfect CSI and Inter-Cell Co-Channel Interference,10.1109/tccn.2024.3522140,图像传输、压缩或生成,有限星座/标准数字波形接口,类别 2：语义特征映射为调制符号或编码包,是：存在明确的离散/有限数字接口,Kodak；Open Images,DeepJSCC；WITT；JPEG；LDPC；QAM；TCM；ADJSCC；JSCC,PSNR；LPIPS；latency；FLOPs,SNR of 10dB；SNR 10dB,CBR=1/32；CBR of 1/32,不适用 VQ index/bit 跳变;论文处理的是连续扰动和信道失配。,"没有完整离散接口,无法直接回答 bit/index/token 跳变问题。 未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。"
2025,core,SwinJSCC: Taming Swin Transformer for Deep Joint Source-Channel Coding,10.1109/tccn.2024.3424842,图像传输、压缩或生成,有限星座/标准数字波形接口,类别 2：语义特征映射为调制符号或编码包,是：存在明确的离散/有限数字接口,Kodak；DIV2K；CIFAR10,DeepJSCC；BPG；LDPC；QAM；Swin Transformer；SwinJSCC；ADJSCC；JSCC,PSNR；SSIM；MS-SSIM；BD-rate；MSE；latency；FLOPs；PER,SNR = 0dB；SNR = 3dB；SNR = 13dB；SNR = 10dB；SNR = 1dB,CBR = 1/48；CBR = 0.0625,不适用 VQ index/bit 跳变;论文处理的是连续扰动和信道失配。,"没有完整离散接口,无法直接回答 bit/index/token 跳变问题。 未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。"
